,,Direct Loans,,Federal Family Education Loans (FFEL),,Perkins Loans,,Total,
Federal Fiscal Year,,Dollars Outstanding (billions),Recipients (millions),Dollars Outstanding (billions),Recipients (millions),Dollars Outstanding (billions),Recipients (millions),Dollars Outstanding (billions),Unduplicated Recipients (millions)
2013,Q1,$508.70 ,23.4,$444.90 ,22.1,$8.20 ,3,$961.90 ,38.7
,Q2,$553.00 ,24.1,$437.00 ,21.6,$8.30 ,3,$998.60 ,38.9
,Q3,$569.20 ,24.3,$429.50 ,21.2,$8.20 ,2.9,"$1,006.80 ",38.7
,Q4,$609.10 ,25.6,$423.00 ,20.9,$8.10 ,2.9,"$1,040.20 ",39.6
2014,Q1,$626.50 ,26.2,$417.10 ,20.6,$8.20 ,3,"$1,051.80 ",40
,Q2,$669.00 ,26.5,$409.70 ,20.2,$8.30 ,3,"$1,087.00 ",40
,Q3,$685.70 ,26.7,$402.50 ,19.8,$8.20 ,2.9,"$1,096.50 ",39.9
,Q4,$726.60 ,27.9,$395.00 ,19.4,$8.20 ,2.9,"$1,129.80 ",40.7
2015,Q1,$744.30 ,28.5,$387.60 ,19.1,$8.20 ,3,"$1,140.10 ",41.1
,Q2,$787.00 ,28.7,$379.10 ,18.6,$8.30 ,2.9,"$1,174.40 ",41
,Q3,$803.10 ,28.8,$370.90 ,18.2,$8.20 ,2.9,"$1,182.10 ",40.8
,Q4,$840.70 ,29.9,$363.60 ,17.9,$8.10 ,2.8,"$1,212.40 ",41.6
2016,Q1,$854.80 ,30.3,$357.30 ,17.5,$8.10 ,2.9,"$1,220.30 ",41.8
,Q2,$896.60 ,30.5,$350.20 ,17.2,$8.20 ,2.8,"$1,254.90 ",41.7
,Q3,$911.60 ,30.5,$342.60 ,16.8,$8.00 ,2.7,"$1,262.20 ",41.5
,Q4,$949.10 ,31.5,$335.20 ,16.4,$7.90 ,2.7,"$1,292.20 ",42.3
2017,Q1,$963.50 ,31.9,$328.30 ,16.1,$7.90 ,2.7,"$1,299.70 ",42.4
,Q2,"$1,003.30 ",32.1,$320.50 ,15.7,$7.90 ,2.6,"$1,331.70 ",42.3
,Q3,"$1,017.00 ",32,$312.60 ,15.2,$7.80 ,2.6,"$1,337.40 ",42
,Q4,"$1,053.50 ",33,$305.80 ,14.9,$7.60 ,2.5,"$1,366.90 ",42.6
2018,Q1,"$1,066.80 ",33.3,$301.10 ,14.5,$7.60 ,2.5,"$1,375.50 ",42.8
,Q2,"$1,104.00 ",33.4,$295.50 ,14.2,$7.60 ,2.5,"$1,407.10 ",42.6
,Q3,"$1,116.00 ",33.3,$288.60 ,13.8,$7.40 ,2.4,"$1,412.00 ",42.2
,Q4,"$1,150.30 ",34.2,$281.80 ,13.5,$7.10 ,2.3,"$1,439.20 ",42.9
2019,Q1,"$1,163.30 ",34.5,$277.00 ,13.1,$6.90 ,2.2,"$1,447.10 ",43
,Q2,"$1,198.40 ",34.5,$271.60 ,12.8,$6.60 ,2.2,"$1,476.60 ",42.8
,Q3,"$1,208.80 ",34.3,$266.00 ,12.4,$6.30 ,2.1,"$1,481.10 ",42.2
,Q4,"$1,242.60 ",35.1,$261.60 ,12.1,$6.10 ,2,"$1,510.30 ",42.9
2020,Q1,"$1,251.90 ",35.3,$257.20 ,11.8,$5.90 ,1.9,"$1,515.00 ",42.8
,Q2,"$1,284.70 ",35.3,$252.40 ,11.5,$5.60 ,1.9,"$1,542.70 ",42.6
,Q3,"$1,290.60 ",35.2,$248.70 ,11.2,$5.40 ,1.8,"$1,544.80 ",42.3
,Q4,"$1,315.20 ",35.9,$245.90 ,11,$5.20 ,1.7,"$1,566.30 ",42.9
2021,Q1,"$1,318.10 ",36.1,$242.10 ,10.8,$4.90 ,1.7,"$1,565.20 ",42.9
,Q2,"$1,348.30 ",36.3,$238.80 ,10.6,$4.70 ,1.6,"$1,591.80 ",42.9
